-6492,-3056,-16992
-6580,-2888,-16964
-6580,-3076,-17204
-6592,-3032,-16984
-6568,-3052,-17092
-6660,-3024,-16912
-6540,-3088,-17008
-6560,-3096,-16916
-6572,-3008,-16916
-6612,-2968,-16900
-6584,-3028,-17016
-6596,-3068,-16916
-6592,-2968,-17040
-6448,-3096,-17100
-6580,-3068,-16924
-6548,-2980,-16892
-6564,-2936,-17056
-6624,-3084,-16904
-6612,-3008,-16936
-6596,-3132,-17028
-6548,-2960,-17068
-6588,-3132,-16868
-6592,-3036,-16920
-6560,-2956,-17048
-6544,-3028,-17000
-6540,-3028,-16940
-6660,-3036,-17068
-6564,-3072,-16960
-6560,-3028,-16780
-6548,-2992,-16948
-6620,-2968,-16968
-6604,-3068,-16968
-6528,-3008,-17036
-6620,-2984,-16868
-6480,-2988,-16980
-6624,-3088,-16936
-6476,-3200,-17052
-6544,-3108,-16948
-6540,-3012,-17160
-6512,-3052,-16820
-6604,-3064,-16884
-6588,-3032,-16896
-6588,-2916,-16976
-6576,-3004,-17036
-6572,-3080,-16944
-6596,-3056,-17048
-6684,-3056,-17036
-6560,-3028,-17012
-6516,-3060,-17008
-6612,-3032,-17016
-6608,-2972,-17064
-6592,-2944,-16820
-6584,-2976,-16968
-6604,-3080,-17052
-6552,-3012,-17020
-6576,-3024,-16988
-6532,-3020,-17056
-6628,-3096,-17056
-6520,-3104,-17064
-6564,-2996,-17000
-6592,-3012,-17032
-6572,-3052,-17176
-6596,-3084,-16928
-6512,-3048,-16980
-6536,-3068,-17064
-6584,-3104,-16912
-6612,-2952,-17064
-6524,-3004,-17184
-6600,-2924,-17144
-6568,-3000,-16868
-6616,-3076,-17160
-6496,-3044,-16972
-6580,-3064,-17072
-6608,-2996,-16936
-6528,-3040,-17008
-6656,-3016,-17168
-6548,-2920,-16968
-6536,-3052,-16988
-6700,-3040,-17216
-6564,-3032,-16880
-6444,-3076,-16900
-6648,-3056,-17108
-6532,-3036,-16948
-6608,-3028,-17080
-6496,-3036,-16992
-6564,-2996,-17052
-6584,-3148,-16836
-6564,-3048,-16960
-6620,-2992,-16856
-6516,-3040,-16972
-6604,-3088,-16940
-6548,-2956,-16992
-6480,-3020,-17068
-6580,-3012,-16980
-6548,-3060,-16960
-6560,-3004,-16872
-6572,-3020,-16912
-6608,-3084,-16904
-6572,-3084,-17028
-6588,-3040,-17132
-6592,-3056,-17048
